Основаня целевая функция;Вспомогательные функции;;;Результаты расчетов (тоже вспомогательные целевые функции);;;;;;Категорияальные переменные;;Переменные (прочерк значит, что переменные не участвуют при данном типе заканчивания или сетки);;;;;;;;;;;;;;;;;;;;;;;;
Дисконтированная прибыль;;;;Накпленная добыча жидкости;Накпленная добыча нефти;Накпленная добыча газа;Накпленная закачка воды;Обводненность на посл. Мес. Расчета;Пластовое давление на последний месяц расчета;Тип скважины (1 - ННС, 2 - ННС с ГРП, 3 - ГС, 4 - ГС с ГРП);Тип системы разработки/сетка (1 - 5-точка, 2 - 9-точка, 3 - 7-точка);Площадь на скважину;Забойное давление добывающих скв.;Забойное давление нагн. Скв.;Проницаемость;Эф. Толщина пласта;соотношение расстояний м-у скв. И рядами;Пористость;Начальная водонасыщенность;Коэф. Дейекстра (для ОФП);Давление начала выделения газа;Вязкость нефти;Объемный коэф.нефти;Плотность нефти;Вязкость воды;Объемный коэф. воды;Начальное пластовое давление;Полудлина ГРП доб.скв.;Полудлина ГРП нагн.скв.;Проницаемость ГРП;Ширина ГРП доб.скв.;Ширина ГРП нагн.скв.;Длина ГС доб;Длина ГС нагн;Кол-во ГРП на доб.скв.;Кол-во ГРП на нагн скв.
3318.521;0.436;7.285;1;4152.48;2591.54;152.26;4644.77;0.667;287.299;1;1;31;174;441;6.65;38;3.3;0.17;0.06;0.05;86;0.3;1.24;0.8;0.3;1.02;291;-;-;-;-;-;-;-;-;-
3786.452;0.273;7.647;1;4816.258;4094.98;513.861;6665.22;0.422;213.748;1;1;83;98;425;13.4;44;4.6;0.18;0.14;0.17;235;0.9;1.17;0.7;0.7;1.01;163;-;-;-;-;-;-;-;-;-
3405.736;0.774;7.297;1;4443.98;2033.87;273.01;5288.57;0.939;259.921;1;1;47;30;455;26.26;11;1.9;0.19;0.05;0.23;173;0.8;1.09;0.8;0.4;1;342;-;-;-;-;-;-;-;-;-
6974.746;0.435;13.296;1;8433.79;7430.15;944.814;11363;0.358;205.968;1;1;80;40;456;16.76;47;2;0.19;0.14;0.5;230;0.3;1.11;0.7;0.6;1.04;165;-;-;-;-;-;-;-;-;-
-536.211;0.269;-0.011;0;69.651;64.884;13.585;103.454;0.274;261.981;1;1;34;241;340;12.51;2;3.8;0.18;0.14;0.39;262;0.3;1.01;0.9;0.7;1.05;337;-;-;-;-;-;-;-;-;-
4899.095;0.587;10.14;1;8993.59;3694.91;184.741;9643.23;0.829;308.742;1;1;41;182;459;19.51;29;3.5;0.17;0.02;0.15;75;1.5;1.12;0.7;0.3;1.04;207;-;-;-;-;-;-;-;-;-
3501.574;0.33;7.191;1;3484.79;3484.79;679.578;5179.64;0;228.961;1;1;78;166;496;11.3;31;1.9;0.2;0.09;0.25;251;1.1;1.15;0.8;0.6;1.03;246;-;-;-;-;-;-;-;-;-
3159.371;0.288;6.539;1;2028.33;1967.36;507.954;2171.35;0.181;172.771;1;1;84;18;328;11.54;24;3.6;0.17;0.11;0.46;301;1;1.24;0.9;0.6;1.03;320;-;-;-;-;-;-;-;-;-
705.036;0.083;2.255;0.664;1061.035;1045.71;83.986;1245.57;0.014;240.989;1;1;73;219;324;4.97;41;3.3;0.16;0.12;0.19;112;0.5;1.1;0.8;0.5;0.98;288;-;-;-;-;-;-;-;-;-
5283.548;0.247;10.173;1;5351.5;4870.81;724.645;7721.2;0.327;301.421;1;1;91;267;422;30.56;50;4.7;0.2;0.16;0.05;188;1.3;1.12;0.8;0.9;1;299;-;-;-;-;-;-;-;-;-
8156.361;0.647;15.754;1;9217.11;4215.99;254.515;10190.5;0.836;273.348;1;1;62;122;466;49.08;20;3.9;0.18;0.07;0.4;88;0.5;1.08;0.9;0.7;0.99;279;-;-;-;-;-;-;-;-;-
4186.881;0.534;8.966;1;2893.449;2081.9;443.32;4067.74;0.864;258.367;1;1;28;82;423;21.72;37;0.5;0.19;0.2;0.33;237;1.4;1.02;0.9;1;1.04;336;-;-;-;-;-;-;-;-;-
-161.375;0.351;0.702;0.101;389.394;376.955;23.675;463.463;0.032;314.407;1;1;49;263;428;35.36;4;0.3;0.2;0.14;0.4;91;1.4;1.16;0.7;0.8;1.02;326;-;-;-;-;-;-;-;-;-
2376.916;0.377;5.344;1;1998.052;1981.8;447.651;2821.39;0.154;195.949;1;1;55;94;427;9.6;23;2.2;0.19;0.08;0.3;269;1.5;1.22;0.8;0.6;1.02;298;-;-;-;-;-;-;-;-;-
3045.687;0.231;6.324;1;1899.848;1738.29;475.244;0;0.127;122.576;1;1;86;28;317;13.72;25;2;0.17;0.17;0.19;235;0.9;1.06;0.8;0.4;0.98;323;-;-;-;-;-;-;-;-;-
1594.866;0.267;3.742;1;1603.802;1361.4;290.959;1849.9;0.4;197.834;1;1;98;39;352;6.86;17;3.2;0.16;0.17;0.29;251;0.7;1.05;0.9;0.3;1;339;-;-;-;-;-;-;-;-;-
280.866;0.141;1.526;0.293;740.48;740.48;100.447;1082.91;0;189.523;1;1;38;137;363;4.71;28;2.1;0.18;0;0.5;274;0.8;1.2;0.9;0.8;1.01;174;-;-;-;-;-;-;-;-;-
-456.741;0.159;0.141;0;157.472;157.094;32.813;251.887;0.002;254.924;1;1;36;242;396;5.25;9;3.6;0.15;0.11;0.1;254;0.3;1.11;0.7;1;1.01;290;-;-;-;-;-;-;-;-;-
-126.817;0.268;0.781;0.127;447.819;434.793;62.637;623.043;0.03;248.677;1;1;96;226;411;25.86;4;2.6;0.2;0.19;0.18;183;0.2;1.05;0.8;0.9;1.03;277;-;-;-;-;-;-;-;-;-
-158.516;0.626;0.697;0.092;389.359;332.628;68.343;576.672;0.518;284.004;1;1;24;211;455;15.65;5;2.2;0.2;0.08;0.28;259;0.4;1.08;0.7;0.9;1.05;337;-;-;-;-;-;-;-;-;-
2836.762;0.264;6.169;1;3432.09;3432.09;326.007;4669.8;0;219.2;1;1;57;139;431;4.78;41;1.7;0.19;0.02;0.3;129;0.4;1.06;0.8;0.3;1;178;-;-;-;-;-;-;-;-;-
1639.422;0.291;3.862;1;1966.466;1794.4;299.339;2375.58;0.089;186.724;1;1;87;61;362;11.76;17;0.6;0.19;0.15;0.48;221;0.5;1.1;0.8;0.4;1.04;205;-;-;-;-;-;-;-;-;-
2237.235;0.74;5.047;1;5412.33;1617.59;280.917;6373.03;0.965;316.686;1;1;62;132;498;31.64;9;2.7;0.18;0.11;0.36;214;0.4;1.02;0.7;0.3;0.99;269;-;-;-;-;-;-;-;-;-
12.193;0.598;1.023;0.189;550.692;296.017;17.87;614.276;0.905;224.657;1;1;32;71;398;16.67;3;0.6;0.17;0.07;0.03;88;0.7;1.07;0.8;0.4;1.01;216;-;-;-;-;-;-;-;-;-
5861.226;0.713;11.79;1;12654.07;3722.08;525.737;14410.7;0.942;289.443;1;1;50;99;446;47.86;26;3.8;0.19;0.18;0.05;270;1.4;1.17;0.7;0.5;1.02;180;-;-;-;-;-;-;-;-;-
-163.171;0.562;0.697;0.092;346.347;257.164;9.51;391.666;0.572;294.335;1;1;44;203;457;28.14;2;2.9;0.17;0.07;0.27;58;0.4;1.2;0.9;0.9;1;233;-;-;-;-;-;-;-;-;-
148.905;0.129;1.269;0.25;624.482;606.912;83.811;470.344;0.03;154.656;1;1;62;36;320;1.24;41;1.3;0.08;0.15;0.15;180;0.2;1.05;0.8;0.6;1.04;177;-;-;-;-;-;-;-;-;-
14092.573;0.757;26.867;1;15539.01;7925.38;1099.04;19057.1;0.923;227.267;1;1;52;70;359;46.1;48;2.2;0.18;0.14;0.03;201;1.5;1.24;0.8;0.6;1.02;179;-;-;-;-;-;-;-;-;-
6764.962;0.772;13.697;1;9555.2;3165.99;458.495;10881.5;0.993;249.09;1;1;37;32;412;42.15;32;3.3;0.15;0.12;0.1;183;0.2;1.04;0.8;0.8;1.02;328;-;-;-;-;-;-;-;-;-
6084.098;0.752;12.575;1;11120.1;3085.46;621.872;12941.7;0.996;233.421;1;1;28;39;359;49.7;47;3.3;0.15;0.13;0.33;230;1;1.13;0.7;0.9;1.02;320;-;-;-;-;-;-;-;-;-
2523.665;0.783;5.801;1;4427.88;1035.71;173.478;4967.53;1;316.623;1;1;28;119;497;43.75;10;2.4;0.2;0.09;0.3;209;0.8;1.13;0.9;0.6;1.02;283;-;-;-;-;-;-;-;-;-
-40.357;0.193;0.928;0.162;556.524;540.672;46.196;678.584;0.193;159.316;1;1;72;64;410;1.28;30;4.2;0.05;0.11;0.14;118;0.6;1.11;0.7;0.5;1.04;183;-;-;-;-;-;-;-;-;-
-329.024;0.528;0.379;0.024;251.061;228.552;26.804;341.914;0.391;281.018;1;1;33;204;482;11.89;3;1.5;0.19;0.2;0.12;154;1.1;1.15;0.8;0.8;1.01;240;-;-;-;-;-;-;-;-;-
5140.029;0.787;10.809;1;10486.8;2648.26;582.859;12181.7;0.998;286.107;1;1;26;101;415;37.82;33;2.9;0.18;0.03;0.21;297;1.5;1.18;0.7;0.5;1.04;316;-;-;-;-;-;-;-;-;-
-256.128;0.37;0.535;0.041;360.812;274.538;26.8;454.782;0.55;300.848;1;1;59;228;458;24.41;3;5;0.15;0.03;0.32;132;0.6;1.08;0.7;1;0.99;298;-;-;-;-;-;-;-;-;-
6285.918;0.444;11.913;1;5903.25;3849.01;687.06;7844.87;0.689;300.032;1;1;91;197;485;41.17;25;5;0.17;0.08;0.34;219;0.7;1.08;0.9;0.9;1.04;323;-;-;-;-;-;-;-;-;-
2804.071;0.15;5.815;1;3323.699;3209.61;155.447;3834.3;0.034;200.95;1;1;99;163;355;10.91;47;2;0.17;0.19;0.02;73;1.4;1.21;0.8;0.7;1.02;208;-;-;-;-;-;-;-;-;-
2642.169;0.572;5.732;1;2573.18;2185.51;99.066;2980.9;0.466;302.048;1;1;69;232;450;39.41;11;2.1;0.15;0.02;0.04;69;0.5;1.19;0.9;0.8;0.99;311;-;-;-;-;-;-;-;-;-
109.964;0.183;1.199;0.221;628.611;625.101;24.522;726.186;0.006;291.574;1;1;62;216;498;4.8;12;0.8;0.15;0.11;0.05;61;1.2;1.11;0.9;0.5;1.04;258;-;-;-;-;-;-;-;-;-
1082.168;0.177;2.913;1;1746.06;1639.46;303.902;2624.99;0.061;262.985;1;1;78;245;348;11.82;37;2.1;0.15;0.15;0.47;226;0.3;1.11;0.7;0.5;0.99;314;-;-;-;-;-;-;-;-;-
6409.064;0.399;12.477;1;4693.149;4684.73;1110.32;6806.91;0.002;172.259;1;1;69;70;384;17.3;48;0.7;0.16;0.1;0.4;238;0.4;1.19;0.7;0.8;0.98;311;-;-;-;-;-;-;-;-;-
2300.38;0.691;5.363;1;2802.396;1956.07;354.527;3959.38;0.796;240.704;1;1;30;135;370;17.02;28;1.4;0.15;0.1;0.11;233;1.5;1.15;0.7;0.6;1;224;-;-;-;-;-;-;-;-;-
6556.229;0.637;13.159;1;5583.43;4347.97;154.318;6012.57;0.609;232.726;1;1;45;132;402;23.95;29;1.9;0.15;0;0.35;56;0.6;1.05;0.9;0.7;1.04;276;-;-;-;-;-;-;-;-;-
1079.257;0.336;2.887;0.979;1652.338;1346.46;64.164;1885.62;0.479;215.192;1;1;86;107;435;19.95;8;4.2;0.19;0.05;0.39;72;1.3;1.22;0.7;0.7;0.99;263;-;-;-;-;-;-;-;-;-
2182.735;0.663;5.14;1;2437.808;1500.19;147.768;2975.45;0.867;332.829;1;1;30;251;438;48.47;15;0.8;0.17;0.02;0.45;133;0.8;1.23;0.8;0.9;0.99;280;-;-;-;-;-;-;-;-;-
723.854;0.4;2.321;0.863;1089.473;990.327;211.582;1599.7;0.365;236.298;1;1;56;178;355;20.44;13;2.9;0.17;0.11;0.43;297;0.3;1.03;0.7;0.7;1.04;314;-;-;-;-;-;-;-;-;-
4161.278;0.207;8.214;1;3862.43;3862.43;412.955;4350.6;0;173.927;1;1;92;83;342;11.74;44;0.2;0.17;0.03;0.34;143;0.9;1.17;0.8;0.4;1.02;172;-;-;-;-;-;-;-;-;-
1694.338;0.62;4.096;1;3121.47;1662.19;173.931;3650.64;0.788;186.139;1;1;55;11;350;21.83;12;2.2;0.17;0.18;0.37;140;1.2;1.2;0.7;0.4;1.04;150;-;-;-;-;-;-;-;-;-
4143.095;0.61;8.582;1;9612.6;2727.15;502.056;11063.6;0.911;231.905;1;1;54;104;332;45.91;21;4.6;0.18;0.07;0.4;259;0.9;1.16;0.7;0.3;1.04;229;-;-;-;-;-;-;-;-;-
1594.248;0.172;3.965;1;1627.726;1626.64;265.23;2116.12;0.001;227.589;1;1;43;203;356;6.49;46;0.7;0.2;0.1;0.23;203;1.4;1.05;0.8;0.6;1.05;340;-;-;-;-;-;-;-;-;-
-504.671;0.097;0.116;0;145.736;145.441;6.818;186.921;0.029;216.296;1;1;85;122;462;1.65;5;4.9;0.12;0.08;0.34;71;0.3;1.04;0.9;0.4;0.98;183;-;-;-;-;-;-;-;-;-
2868.879;0.283;6.205;1;2485.594;2485.26;312.643;2953.58;0;212.01;1;1;60;97;488;15.51;30;0.2;0.2;0.1;0.03;162;0.8;1.22;0.8;1;1.02;183;-;-;-;-;-;-;-;-;-
5635.681;0.447;10.797;1;6628.51;6099.32;309.746;7874.62;0.295;189.105;1;1;90;99;456;27.28;30;2.1;0.18;0.15;0.3;76;1.1;1.02;0.7;1;1.01;158;-;-;-;-;-;-;-;-;-
-271.664;0.082;0.5;0.047;233.262;233.262;27.66;296.411;0;164.131;1;1;50;126;460;1.11;23;4;0.1;0.09;0.44;156;1.5;1.15;0.9;1;1;208;-;-;-;-;-;-;-;-;-
7813.306;0.633;14.755;1;7750.34;5089.24;849.39;10687.4;0.781;316.486;1;1;81;257;402;41.15;26;1.4;0.15;0.02;0.29;207;0.7;1.13;0.9;0.3;0.99;262;-;-;-;-;-;-;-;-;-
8906.206;0.438;16.398;1;6901.383;6799.01;1405.12;10720.2;0.042;249.313;1;1;94;212;430;29.59;48;1.7;0.17;0.15;0.02;283;1.1;1.07;0.9;0.8;1.01;346;-;-;-;-;-;-;-;-;-
11683.805;0.685;22.074;1;11204.47;5913.92;1265.7;14728.1;0.843;232.348;1;1;64;50;375;30.47;39;2.1;0.16;0.1;0.41;257;1;1.1;0.9;0.4;1.03;323;-;-;-;-;-;-;-;-;-
-116.112;0.4;0.777;0.12;359.147;359.147;75.295;581.237;0;260.109;1;1;21;240;357;15.11;10;0.8;0.19;0.05;0.25;286;0.8;1.01;0.8;0.9;1;330;-;-;-;-;-;-;-;-;-
5708.854;0.444;11.165;1;6372.15;4443.33;364.409;7193.26;0.626;175.09;1;1;73;60;352;21.9;31;4.2;0.16;0.08;0.27;114;1.3;1.19;0.7;0.6;1.03;317;-;-;-;-;-;-;-;-;-
1187.603;0.464;3.133;1;1039.578;885.397;120.773;1327.29;0.956;234.102;1;1;67;100;363;43.41;7;0.1;0.16;0.06;0.34;172;0.6;1.17;0.9;0.3;0.99;333;-;-;-;-;-;-;-;-;-
4811.258;0.452;9.936;1;3005.049;2830.89;701.165;4497.71;0.466;257.39;1;1;44;19;467;24.14;47;0.2;0.16;0.18;0.33;262;0.6;1.19;0.8;1;1.03;314;-;-;-;-;-;-;-;-;-
11299.565;0.466;21.148;1;12878.21;6460.71;763.557;15239.1;0.77;225.365;1;1;72;148;329;27.77;45;4.3;0.16;0.02;0.26;155;1.2;1.1;0.9;0.3;1.02;227;-;-;-;-;-;-;-;-;-
2461.184;0.748;5.633;1;2615.36;1209.21;170.653;3136.96;0.931;264.568;1;1;35;91;444;45.95;9;1;0.2;0.06;0.41;179;1;1.01;0.9;0.8;1.03;228;-;-;-;-;-;-;-;-;-
1080.732;0.44;3.075;1;2919.02;1045.2;48.995;3044.04;0.85;207.487;1;1;22;69;368;6.25;25;4.6;0.16;0.17;0.34;71;1.2;1.13;0.7;0.3;1.01;322;-;-;-;-;-;-;-;-;-
4854.09;0.154;9.392;1;2335.648;2174.9;372.316;0;0.086;145.938;1;1;94;135;322;29.04;47;0.7;0.15;0.2;0.35;201;1.3;1.11;0.8;0.8;1.03;328;-;-;-;-;-;-;-;-;-
1048.76;0.095;2.852;0.608;1419.38;1419.38;271.477;2272.13;0;248.632;1;1;79;234;418;8.9;41;4.6;0.2;0.02;0.08;232;0.2;1.02;0.9;1;1.03;240;-;-;-;-;-;-;-;-;-
1936;0.524;4.418;1;1696.567;1429.32;153.555;2063.99;0.451;184.229;1;1;79;16;465;27.06;7;3;0.19;0.08;0.03;144;0.9;1.1;0.9;0.9;1.05;289;-;-;-;-;-;-;-;-;-
3489.164;0.699;7.588;1;6598.95;1674.17;241.004;7459.84;0.94;271.28;1;1;33;15;481;30.61;21;4.8;0.15;0.1;0.44;184;0.7;1.01;0.9;0.7;0.99;191;-;-;-;-;-;-;-;-;-
328.609;0.273;1.579;0.384;622.324;588.207;102.554;729.19;0.33;174.733;1;1;81;97;419;10.71;8;5;0.16;0.15;0.08;211;0.9;1.03;0.8;1;0.99;259;-;-;-;-;-;-;-;-;-
-426.652;0.311;0.182;0;204.063;147.314;29.781;298.922;0.59;274.001;1;1;23;235;345;6.32;5;4.4;0.18;0.01;0.45;243;0.5;1.23;0.7;0.3;1;289;-;-;-;-;-;-;-;-;-
5871.006;0.658;11.439;1;9163.12;4524.67;592.799;11245.1;0.832;282.172;1;1;74;109;483;43;21;2.8;0.2;0.16;0.5;207;0.3;1.13;0.7;0.6;1.01;169;-;-;-;-;-;-;-;-;-
581.418;0.255;2.077;0.542;987.3;894.385;46.123;1145.43;0.309;156.006;1;1;46;69;399;6.44;15;3.8;0.2;0.2;0.11;77;0.8;1.16;0.8;0.8;0.98;215;-;-;-;-;-;-;-;-;-
6929.22;0.678;13.927;1;6931.5;4401.14;552.288;8627.77;0.839;320.566;1;1;41;233;438;43.6;36;1.2;0.18;0.15;0.43;163;1.1;1.17;0.8;0.8;1.01;350;-;-;-;-;-;-;-;-;-
3830.833;0.512;7.744;1;3066.322;3006.43;316.117;3847.79;0.106;161.721;1;1;81;104;352;40.42;14;0.9;0.2;0.13;0.34;142;0.4;1.25;0.9;0.9;1;297;-;-;-;-;-;-;-;-;-
10926.929;0.793;22.045;1;12897.43;3953.03;578.048;14770.5;1;275.132;1;1;20;28;430;37.44;48;1.4;0.2;0.03;0.27;261;0.7;1.09;0.9;0.7;1.02;186;-;-;-;-;-;-;-;-;-
1931.641;0.376;4.335;1;2202.884;2075.34;395.234;3395.84;0.319;222.956;1;1;95;169;357;29.84;14;2.9;0.19;0.06;0.24;261;1;1.12;0.7;0.6;0.98;238;-;-;-;-;-;-;-;-;-
6523.717;0.795;13.526;1;10291.92;2379.3;342.768;11406.3;1;330.667;1;1;22;171;490;27.41;34;2.2;0.15;0.03;0.22;183;0.9;1.07;0.9;0.5;1;320;-;-;-;-;-;-;-;-;-
10301.921;0.68;20.481;1;15448.68;4625.38;383.314;16692.3;0.916;280.587;1;1;32;110;475;37.91;36;4.8;0.2;0.01;0.23;115;1.3;1.18;0.9;0.6;1.01;289;-;-;-;-;-;-;-;-;-
1438.995;0.186;3.537;1;1591.149;1590.23;214.937;1370.07;0.001;149.751;1;1;80;37;317;2.43;50;2.6;0.09;0.1;0.07;174;0.9;1.04;0.8;0.5;1;244;-;-;-;-;-;-;-;-;-
20216.165;0.644;37.099;1;31628.82;9071.72;1105.18;35419.9;0.955;311.123;1;1;71;86;497;43.12;50;0.7;0.17;0.17;0.09;266;0.3;1.19;0.8;0.3;1.03;159;-;-;-;-;-;-;-;-;-
219.136;0.39;1.392;0.344;445.226;420.529;95.521;661.653;0.366;200.532;1;1;69;106;417;13.69;5;3.1;0.15;0.09;0.06;259;1.3;1.16;0.9;0.8;0.98;326;-;-;-;-;-;-;-;-;-
3975.752;0.294;7.855;1;4853.992;4810.77;555.472;6373.38;0.077;318.219;1;1;96;290;406;22.25;40;1.8;0.16;0.09;0.46;152;0.8;1.1;0.7;0.4;1.04;332;-;-;-;-;-;-;-;-;-
3167.963;0.607;6.585;1;3963.48;2465.48;398.397;5343.62;0.707;238.447;1;1;80;123;373;44.53;12;3;0.19;0.1;0.29;260;0.6;1.17;0.8;0.5;0.99;203;-;-;-;-;-;-;-;-;-
798.411;0.724;2.498;0.901;2377.169;816.739;122.281;2772.42;0.955;253.054;1;1;37;184;325;40.79;10;2.6;0.15;0.2;0.21;216;1.3;1.06;0.7;0.4;1.02;189;-;-;-;-;-;-;-;-;-
19302.373;0.537;35.765;1;24830.6;10001.1;507.894;27214.8;0.839;288.244;1;1;65;125;486;30.89;49;4.2;0.2;0.08;0.34;76;1;1.05;0.9;0.4;0.98;233;-;-;-;-;-;-;-;-;-
2354.139;0.288;5.271;1;2620.195;2364.57;478.669;3796.25;0.1;257.331;1;1;60;148;478;9.34;40;0.4;0.18;0.2;0.43;289;0.4;1.23;0.8;0.6;1.01;258;-;-;-;-;-;-;-;-;-
6284.945;0.581;11.911;1;6727.771;5763.64;685.869;8598.53;0.5;195.779;1;1;91;117;355;33.98;27;1.8;0.16;0.13;0.11;156;1.5;1.24;0.7;0.6;1.02;313;-;-;-;-;-;-;-;-;-
377.165;0.426;1.69;0.406;679.566;673.646;40.121;840.599;0.197;312.758;1;1;54;206;473;37.88;7;0.2;0.15;0.12;0.18;87;0.4;1.17;0.8;1;1;271;-;-;-;-;-;-;-;-;-
4931.934;0.742;10.215;1;6834.4;3486.63;463.371;8325.44;0.919;275.388;1;1;40;98;460;31.8;31;2.8;0.17;0.15;0.28;172;0.6;1.02;0.7;0.9;1.03;174;-;-;-;-;-;-;-;-;-
1571.432;0.147;3.794;0.884;2408.74;2408.74;126.126;2858.28;0;160.395;1;1;74;116;445;7.79;37;1.4;0.2;0.09;0.24;78;0.2;1.13;0.7;1;1.03;150;-;-;-;-;-;-;-;-;-
7021.306;0.567;13.24;1;9479.72;4342.87;533.043;11071.1;0.819;310.535;1;1;88;168;498;46.36;18;4.5;0.18;0.01;0.03;160;0.8;1.24;0.8;0.5;1.04;262;-;-;-;-;-;-;-;-;-
3057.423;0.247;6.483;1;2757.993;2697.06;510.141;3679.37;0.219;209.576;1;1;68;178;322;20.8;45;4.8;0.17;0.1;0.1;260;0.3;1.24;0.7;1;1.04;235;-;-;-;-;-;-;-;-;-
-486.536;0.462;0.087;0;119.028;119.028;26.055;197.523;0;311.432;1;1;37;291;450;20.62;2;1.1;0.16;0.08;0.35;296;0.7;1.25;0.8;1;1.02;350;-;-;-;-;-;-;-;-;-
16934.579;0.6;30.772;1;11007.68;9856.85;1556.44;15516.4;0.521;194.218;1;1;82;42;402;47.18;45;1.5;0.19;0.12;0.34;221;1.5;1.22;0.9;1;1.04;189;-;-;-;-;-;-;-;-;-
3847.141;0.208;7.726;1;4089.554;3964.7;429.244;5278.45;0.217;264.959;1;1;86;221;429;13.01;46;4.9;0.17;0;0.35;144;0.7;1.24;0.7;0.7;0.99;337;-;-;-;-;-;-;-;-;-
1195.933;0.13;3.176;0.821;1792.212;1661.85;51.685;1910.65;0.073;301.1;1;1;58;289;339;25.45;41;2.3;0.19;0.2;0.28;50;1.1;1.21;0.8;0.7;1.05;309;-;-;-;-;-;-;-;-;-
3185.934;0.369;6.554;1;2664.842;2622.33;497.349;3282.13;0.018;152.937;1;1;88;37;429;15.67;19;1.6;0.19;0.13;0.16;209;1.5;1.11;0.8;0.8;1.01;228;-;-;-;-;-;-;-;-;-
4986.213;0.587;10.166;1;5596.6;4301.66;327.275;6568.33;0.559;232.265;1;1;51;110;469;21.16;28;2.8;0.18;0.06;0.33;107;0.5;1.22;0.7;0.8;1.02;285;-;-;-;-;-;-;-;-;-
-300.333;0.495;0.427;0.017;259.296;211.181;9.899;301.569;0.474;237.789;1;1;26;118;493;2.23;12;2.6;0.05;0.15;0.27;71;1.5;1.03;0.8;0.9;0.99;235;-;-;-;-;-;-;-;-;-
7342.902;0.523;14.438;1;6799.16;4564.39;702.715;8995.2;0.679;231.265;1;1;54;147;376;43.68;36;4.3;0.18;0.02;0.49;195;0.8;1.04;0.8;1;1;282;-;-;-;-;-;-;-;-;-
-498.249;0.072;0.046;0;108.533;106.121;21.032;159.334;0.022;286.357;1;1;24;270;388;1.47;19;1;0.15;0.12;0.5;239;0.3;1.12;0.7;0.7;1.01;324;-;-;-;-;-;-;-;-;-
