Основаня целевая функция;Вспомогательные функции;;;Результаты расчетов (тоже вспомогательные целевые функции);;;;;;Категорияальные переменные;;Переменные (прочерк значит, что переменные не участвуют при данном типе заканчивания или сетки);;;;;;;;;;;;;;;;;;;;;;;;
Дисконтированная прибыль;;;;Накпленная добыча жидкости;Накпленная добыча нефти;Накпленная добыча газа;Накпленная закачка воды;Обводненность на посл. Мес. Расчета;Пластовое давление на последний месяц расчета;Тип скважины (1 - ННС, 2 - ННС с ГРП, 3 - ГС, 4 - ГС с ГРП);Тип системы разработки/сетка (1 - 5-точка, 2 - 9-точка, 3 - 7-точка);Площадь на скважину;Забойное давление добывающих скв.;Забойное давление нагн. Скв.;Проницаемость;Эф. Толщина пласта;соотношение расстояний м-у скв. И рядами;Пористость;Начальная водонасыщенность;Коэф. Дейекстра (для ОФП);Давление начала выделения газа;Вязкость нефти;Объемный коэф.нефти;Плотность нефти;Вязкость воды;Объемный коэф. воды;Начальное пластовое давление;Полудлина ГРП доб.скв.;Полудлина ГРП нагн.скв.;Проницаемость ГРП;Ширина ГРП доб.скв.;Ширина ГРП нагн.скв.;Длина ГС доб;Длина ГС нагн;Кол-во ГРП на доб.скв.;Кол-во ГРП на нагн скв.
225.37;0.233;1.372;0.275;691.911;691.911;69.191;665.072;0;237.833;2;1;77;232;368;39.99;6;1.2;0.17;0.03;0.03;90;0.3;1.03;0.9;0.7;1.05;263;426;180;267678;0.005;0.01;-;-;-;-
9401.324;0.501;16.697;1;8873.97;7833.44;783.344;9906.53;0.385;168.764;2;1;69;93;489;15.47;50;3.1;0.15;0.06;0.33;67;0.3;1.2;0.7;1;1.01;309;208;351;84540;0.003;0.01;-;-;-;-
2893.892;0.375;5.781;1;2148.61;2148.61;214.861;2014.31;0;207.243;2;1;77;95;420;19.27;11;0.2;0.19;0.06;0.19;103;0.3;1.03;0.9;0.4;1.04;322;274;137;205268;0.001;0.01;-;-;-;-
6362.794;0.564;11.99;1;6883.33;3584.26;358.426;7085.41;0.771;206.884;2;1;44;158;308;23.01;25;3.8;0.18;0.09;0.28;232;0.3;1.09;0.9;0.3;1;302;389;487;133697;0.005;0.01;-;-;-;-
-147.538;0.32;0.756;0.112;480.818;320.794;32.079;517.639;0.62;249.853;2;1;75;158;363;47.83;3;2.4;0.15;0.11;0.33;232;1.4;1.21;0.9;0.5;1.05;300;150;207;46864;0.003;0.01;-;-;-;-
4510.538;0.222;8.531;1;4565.35;4565.35;456.535;4893.4;0;207.777;2;1;69;182;365;48.3;49;1.1;0.19;0.08;0.21;255;0.2;1.15;0.8;1;1.04;245;97;360;56913;0.001;0.01;-;-;-;-
3232.466;0.273;6.515;1;3995.656;3852.27;385.227;3891.71;0.037;220.695;2;1;53;176;337;21.07;48;0.7;0.16;0.13;0.24;210;1.2;1.01;0.7;0.8;1;274;429;399;91410;0.004;0.01;-;-;-;-
3625.086;0.456;7.394;1;3702.24;2552.52;255.252;4346.75;0.789;357.247;2;1;29;12;475;34.72;45;0.3;0.17;0.19;0.32;185;1.2;1.25;0.9;1;1.02;295;476;290;5001;0.004;0.01;-;-;-;-
16376.746;0.55;27.701;1;13395.08;10442.2;1044.22;13304.8;0.603;87.51;2;1;87;22;300;47.94;38;1.6;0.17;0.1;0.16;82;0.5;1.06;0.9;0.4;1.03;224;140;203;161809;0.005;0.01;-;-;-;-
2643.599;0.356;5.523;1;2861.348;2651.86;265.186;3136.56;0.298;237.033;2;1;51;134;305;40.37;29;3;0.15;0.05;0.13;98;0.5;1.07;0.8;0.8;0.98;221;97;116;6016;0.003;0.01;-;-;-;-
4506.261;0.515;8.646;1;3800.2;3090.02;309.002;4003.05;0.493;219.898;2;1;57;66;428;23.09;20;2.7;0.16;0.03;0.22;160;0.6;1.14;0.9;0.8;1.03;326;310;108;38779;0.002;0.01;-;-;-;-
13246.977;0.476;23.177;1;21715.1;9865.2;986.52;22437.5;0.817;168.377;2;1;67;66;434;30.76;45;1.6;0.2;0.04;0.18;90;1.5;1.13;0.7;0.3;1;308;59;407;236382;0.004;0.01;-;-;-;-
5225.69;0.567;10.115;1;4838.161;4420.06;442.006;5280.98;0.431;359.058;2;1;37;95;408;30.51;42;1.4;0.15;0.14;0.46;153;0.2;1.01;0.8;0.6;0.98;162;77;271;1294;0.004;0.01;-;-;-;-
-593.936;0.038;-0.04;0;13.757;11.637;1.164;0;0;124.834;2;1;34;62;318;15.27;2;4.6;0.15;0.2;0.33;250;1.2;1.03;0.7;0.7;0.98;325;130;432;251806;0.003;0.01;-;-;-;-
4287.258;0.571;8.467;1;6489.44;2663.13;266.313;6730.21;0.848;211.809;2;1;38;109;409;48.1;23;4.6;0.19;0.19;0.08;134;0.6;1.09;0.8;0.9;1;221;392;347;263746;0.001;0.01;-;-;-;-
4101.623;0.247;7.839;1;7317.84;3322.39;332.239;7552.76;0.741;197.638;2;1;70;109;314;49.03;41;3.9;0.18;0.2;0.49;220;1.4;1.17;0.8;0.6;1.04;256;75;445;46306;0.005;0.01;-;-;-;-
-303.956;0.299;0.47;0.024;348.618;229.735;22.974;394.978;0.636;190.158;2;1;37;55;376;2.65;6;3.8;0.12;0.1;0.44;64;1.1;1.17;0.8;0.6;0.99;179;354;488;36253;0.003;0.01;-;-;-;-
5860.09;0.557;11.38;1;4953.178;4784.46;478.446;5128.93;0.353;273.001;2;1;26;236;481;29.26;47;0.5;0.19;0.04;0.46;187;0.5;1.04;0.9;0.9;1.01;260;170;373;181587;0.005;0.01;-;-;-;-
38.435;0.038;1.062;0.196;583.429;583.429;58.343;535.371;0;261.197;2;1;99;215;310;2.37;48;3.1;0.1;0.06;0.43;181;0.6;1.11;0.8;0.9;0.98;296;416;172;1533;0.004;0.01;-;-;-;-
-109.283;0.437;0.81;0.13;445.391;335.425;33.542;516.593;0.568;273.964;2;1;39;68;436;36.32;3;2.1;0.2;0.02;0.16;130;1.5;1.19;0.9;0.9;1;232;207;125;48163;0.001;0.01;-;-;-;-
888.938;0.047;2.457;1;556.898;556.898;55.69;0;0;107.822;2;1;83;17;336;49.21;27;4.3;0.16;0.07;0.17;234;0.3;1.09;0.9;0.4;0.99;339;316;163;3189;0.001;0.01;-;-;-;-
4486.067;0.36;8.267;1;11616.15;3919.19;391.919;12369.9;0.834;233.965;2;1;92;96;495;46.64;26;4.1;0.17;0.19;0.4;225;1.1;1.13;0.7;0.5;1;151;59;133;233449;0.002;0.01;-;-;-;-
-353.9;0.377;0.427;0.052;370.008;367.097;36.71;433.816;0.013;194.288;2;1;93;167;469;47.88;2;2;0.18;0.13;0.32;83;0.2;1.18;0.7;0.9;1.02;180;328;447;21046;0.004;0.01;-;-;-;-
1537.525;0.231;3.507;1;1539.14;1539.14;153.914;1458.62;0;272.564;2;1;87;231;482;37.18;14;0.2;0.15;0.05;0.02;261;0.4;1.02;0.9;0.9;1.02;335;451;421;77191;0.003;0.01;-;-;-;-
7525.662;0.517;13.206;1;7864.28;6026.35;602.635;8139.04;0.526;261.832;2;1;91;221;472;30.55;21;3.1;0.2;0.14;0.23;175;0.2;1.08;0.8;0.4;1.03;269;140;183;267459;0.004;0.01;-;-;-;-
2391.753;0.515;5.143;1;3195.481;3055.88;305.588;3763.98;0.257;230.956;2;1;42;161;311;41.18;30;1.2;0.18;0.2;0.21;139;0.2;1.22;0.7;0.6;1.03;234;237;191;8255;0.003;0.01;-;-;-;-
4074.768;0.33;8.048;1;4643.64;4643.64;464.364;5157.88;0;240.935;2;1;43;143;421;18.1;46;0.5;0.2;0.03;0.28;196;1.1;1.07;0.8;0.8;1.02;156;374;315;94862;0.001;0.01;-;-;-;-
4798.705;0.3;8.927;1;5345.39;4303.85;430.385;5341.35;0.49;216.799;2;1;77;140;364;35.18;37;4.1;0.15;0.03;0.3;80;1.1;1.11;0.7;0.9;1.05;304;379;188;139260;0.001;0.01;-;-;-;-
2553.395;0.183;5.163;1;2487.423;2482.88;248.288;2365.46;0.002;199.672;2;1;87;79;339;26.35;32;0.1;0.16;0.1;0.01;65;0.8;1.15;0.8;0.4;1.05;325;378;73;13689;0.005;0.01;-;-;-;-
4720.959;0.628;9.246;1;5229.89;2791.22;279.122;5483.45;0.786;218.982;2;1;36;80;428;15.62;18;2.1;0.2;0.04;0.06;215;0.7;1.14;0.9;0.4;1.01;339;200;108;176205;0.002;0.01;-;-;-;-
5595.74;0.603;10.912;1;17035.58;3433.28;343.328;18028;0.934;240.747;2;1;26;163;403;46.59;44;3.5;0.19;0.13;0.21;123;1.5;1.25;0.8;0.5;0.99;187;325;87;241727;0.002;0.01;-;-;-;-
3527.6;0.253;7.002;1;4011.37;3197.28;319.728;4395.93;0.489;186.102;2;1;55;45;299;21.99;43;3.8;0.17;0.06;0.32;116;1.5;1.12;0.8;0.9;1.01;182;111;260;47040;0.001;0.01;-;-;-;-
7823.131;0.507;13.992;1;9433.23;4865.44;486.544;10304.8;0.795;196.105;2;1;73;124;433;47.13;26;1.5;0.16;0.06;0.45;51;1;1.18;0.9;0.4;1;213;123;490;132776;0.005;0.01;-;-;-;-
349.897;0.029;1.588;0.586;383.609;341.899;34.19;0;0.109;189.408;2;1;64;186;321;2.41;41;2.5;0.15;0.15;0.5;227;1.1;1.16;0.8;0.9;0.98;338;176;453;83624;0.002;0.01;-;-;-;-
963.784;0.208;2.66;0.71;1317.633;1132.12;113.212;1459.37;0.407;268.109;2;1;46;229;343;6.52;22;3.4;0.18;0.06;0.44;213;0.9;1.21;0.9;0.4;1.04;301;352;221;174093;0.002;0.01;-;-;-;-
5307.09;0.26;9.802;1;6000.43;5022.09;502.209;6154.42;0.46;260.309;2;1;74;155;456;7.03;43;3.4;0.18;0.05;0.42;267;0.9;1.09;0.7;0.5;1;332;141;421;270770;0.002;0.01;-;-;-;-
2830.658;0.153;5.562;1;3455.35;3455.35;345.535;3837.22;0;228.438;2;1;96;15;451;22.84;36;0.2;0.2;0.03;0.17;235;1.4;1.14;0.7;0.7;1.02;244;416;130;267326;0.002;0.01;-;-;-;-
4555.373;0.74;9.104;1;7121.08;2279.83;227.983;7406.48;0.95;213.283;2;1;23;82;312;21.58;26;2.8;0.16;0.03;0.42;281;0.4;1.13;0.9;0.3;1.02;170;271;185;211422;0.001;0.01;-;-;-;-
3106.969;0.392;6.412;1;4558.53;3464.07;346.407;5387.76;0.566;212.508;2;1;38;168;340;30.24;42;1.9;0.19;0.09;0.39;64;1.4;1.23;0.7;0.8;1.02;170;234;208;179497;0.003;0.01;-;-;-;-
602.286;0.149;2.039;0.376;1631.747;1322.98;132.298;2072.93;0.406;359.784;2;1;45;163;402;27.94;37;4.1;0.19;0.2;0.1;257;1.4;1.07;0.7;0.9;1;194;59;147;7970;0.001;0.01;-;-;-;-
7142.208;0.379;13.219;1;10880.26;4687.33;468.733;11791.4;0.797;233.111;2;1;51;82;362;20.05;45;2.8;0.17;0;0.17;196;1.5;1.2;0.9;0.3;1;247;262;154;42176;0.003;0.01;-;-;-;-
3762.348;0.738;7.608;1;5096.91;2333.73;233.373;5413.88;0.908;156.892;2;1;32;16;371;42.58;20;2.6;0.18;0.16;0.09;170;0.7;1.18;0.8;0.9;1;313;255;213;281009;0.003;0.01;-;-;-;-
8438.943;0.334;14.617;1;6704.644;6130.46;613.046;6812.54;0.349;190.739;2;1;95;131;437;47.48;37;2.5;0.16;0.08;0.02;61;1.3;1.14;0.9;1;1.05;302;400;383;140519;0.003;0.01;-;-;-;-
1097.078;0.176;2.775;0.757;1832.663;1757.74;175.774;1867.42;0.143;226.793;2;1;93;164;322;37.82;19;2.9;0.19;0.12;0.17;238;1.3;1.13;0.7;0.7;1.05;272;208;120;39289;0.003;0.01;-;-;-;-
674.697;0.264;2.097;0.59;1424.519;762.055;76.206;1454.23;0.722;237.635;2;1;89;128;362;24.28;5;4.8;0.2;0.06;0.29;270;0.9;1.11;0.9;0.3;1.03;286;157;135;258240;0.001;0.01;-;-;-;-
1101.919;0.048;3.44;1;372.083;366.014;36.601;0;0.017;116;3;1;333;115;256;27.83;37;0.6;0.15;0.11;0.14;130;0.6;1.11;0.9;0.3;1;349;-;-;-;-;-;320;510;-;-
-660.45;0.012;0.132;0;47.081;45.153;4.515;0;0.041;140.149;3;1;352;140;408;40.67;8;0.1;0.15;0.16;0.02;54;0.6;1.25;0.8;0.5;1.05;196;-;-;-;-;-;510;840;-;-
-123.141;0.021;0.726;0;97.544;97.544;9.754;0;0;172;3;1;407;172;240;37.11;36;4.7;0.2;0.07;0.08;138;0.5;1.24;0.7;0.4;1.05;272;-;-;-;-;-;500;960;-;-
52.785;0.036;1.114;1;131.63;131.63;13.163;0;0;176;3;1;205;176;407;35.64;30;2.6;0.19;0.07;0.24;80;0.9;1.24;0.8;0.3;0.98;350;-;-;-;-;-;540;1510;-;-
-469.909;0.024;-0.034;0;5.081;4.852;0.485;0;0;107;3;1;216;107;439;39.11;2;2.5;0.2;0.17;0.27;87;0.6;1.02;0.9;0.8;1;219;-;-;-;-;-;310;1630;-;-
-393.6;0.011;0.132;0;24.583;24.583;2.458;0;0;100;3;1;326;100;364;4.12;35;4.2;0.15;0.05;0.34;60;0.6;1.23;0.8;0.8;1.01;152;-;-;-;-;-;350;1600;-;-
159.011;0.047;1.373;1;168.294;150.362;15.036;0;0;102;3;1;407;101;315;23.27;41;4.9;0.15;0.14;0.32;117;0.9;1.02;0.8;0.3;1;349;-;-;-;-;-;330;400;-;-
-281.884;0.017;0.366;0;41.629;41.629;4.163;0;0;138;3;1;135;133;376;41.15;24;2.4;0.2;0.02;0.12;178;1;1.16;0.9;0.6;1.04;225;-;-;-;-;-;370;1170;-;-
-63.803;0.021;0.86;0;117.512;97.629;9.763;0;0.169;151;3;1;232;151;450;12.81;41;2.4;0.19;0.15;0.21;160;1.4;1.2;0.9;0.3;1;264;-;-;-;-;-;540;1280;-;-
-324.901;0.034;0.325;0;42.466;42.335;4.234;0;0.003;92;3;1;333;88;477;47.64;8;0.6;0.15;0.1;0.29;121;1;1.24;0.9;0.6;1.01;256;-;-;-;-;-;470;1910;-;-
-141.817;0.041;0.68;0;74.159;72.177;7.218;0;0;79;3;1;255;79;297;11.26;25;2.7;0.17;0.18;0.1;72;0.4;1.11;0.9;0.8;1;269;-;-;-;-;-;350;1160;-;-
-416.686;0.022;0.081;0;16.538;14.396;1.44;0;0;118;3;1;47;101;406;41.36;17;2.3;0.17;0.19;0.06;185;1.1;1.08;0.9;0.4;1;231;-;-;-;-;-;470;1720;-;-
42.207;0.035;1.09;0.309;131.987;131.987;13.199;0;0;155.002;3;1;358;155;212;16.08;19;1.6;0.18;0.03;0.08;160;1.5;1.15;0.9;0.6;1.02;328;-;-;-;-;-;670;1340;-;-
560.761;0.024;2.13;1;313.863;312.812;31.281;0;0.004;152.005;3;1;408;152;320;36.9;40;0.4;0.15;0.1;0.48;96;1;1.14;0.8;0.6;0.99;267;-;-;-;-;-;320;1530;-;-
1524.981;0.416;4.54;1;1023.578;1007.27;100.727;1125.48;0.756;265.904;3;1;410;107;438;10.02;21;3.9;0.2;0.07;0.34;58;0.2;1.13;0.9;0.8;1.04;241;-;-;-;-;-;320;490;-;-
5.313;0.028;1.012;0;116.704;116.704;11.67;0;0;154;3;1;107;154;385;20.24;49;2.2;0.16;0.04;0.33;76;1.4;1.1;0.8;1;0.98;292;-;-;-;-;-;370;770;-;-
-241.395;0.025;0.444;0;67.162;61.394;6.139;0;0;79;3;1;150;77;357;31.03;33;0.9;0.15;0.19;0.26;99;0.3;1.18;0.7;0.3;0.98;199;-;-;-;-;-;410;520;-;-
-228.058;0.007;0.528;0;82.771;82.771;8.277;0;0;166.009;3;1;422;166;214;37.42;34;0.5;0.15;0.05;0.12;63;1.5;1.07;0.8;0.5;1;200;-;-;-;-;-;350;990;-;-
-254.884;0.026;0.442;0;63.864;63.864;6.386;0;0;116;3;1;177;104;341;31.56;41;4.7;0.16;0.05;0.43;171;0.9;1.05;0.7;0.7;1.01;244;-;-;-;-;-;470;1790;-;-
-301.316;0.045;0.309;0;34.034;34.034;3.403;0;0;64;3;1;87;61;307;46.13;28;4.8;0.15;0.04;0.35;84;0.2;1.17;0.9;0.7;0.99;290;-;-;-;-;-;320;1190;-;-
4040.327;0.468;10.101;1;6319.37;1741.23;174.123;6390.96;0.957;320.938;3;1;429;171;473;49.89;21;3;0.18;0.11;0.05;85;1.4;1.01;0.9;0.4;0.99;264;-;-;-;-;-;480;540;-;-
-158.072;0.018;0.655;0;84.06;81.218;8.122;0;0.034;140;3;1;382;140;309;31.04;44;3.4;0.15;0.2;0.09;98;0.4;1.02;0.8;0.7;1.01;224;-;-;-;-;-;480;1430;-;-
-450.018;0.035;-0.041;0;4.121;4.121;0.412;0;0;109;3;1;149;109;248;47.29;2;3.9;0.16;0.03;0.07;73;1.5;1.14;0.8;0.6;0.99;284;-;-;-;-;-;390;740;-;-
459.254;0.029;2.002;1;212.358;210.637;21.064;0;0.008;132;3;1;150;132;430;20.17;37;0.4;0.15;0.12;0.1;65;0.4;1.03;0.9;0.6;1.02;271;-;-;-;-;-;450;840;-;-
-322.527;0.04;0.285;0;40.455;40.455;4.045;0;0;113;3;1;59;111;455;3.02;26;3.9;0.15;0.01;0.16;137;1.3;1.09;0.8;0.8;1.02;315;-;-;-;-;-;380;1740;-;-
-459.845;0.043;-0.037;0;5.672;5.161;0.516;0;0;114;3;1;360;97;310;39.32;2;4.5;0.15;0.19;0.28;181;0.9;1.18;0.8;0.9;0.98;323;-;-;-;-;-;380;1110;-;-
1618.821;0.38;4.638;1;1752.121;1663.82;166.382;1935.36;0.05;245.47;3;1;202;142;409;18.81;27;0.8;0.17;0.19;0.3;99;0.4;1.1;0.7;0.7;1.01;224;-;-;-;-;-;530;360;-;-
-391.693;0.013;0.136;0;33.211;32.836;3.284;0;0.011;171.649;3;1;278;171;363;4.56;15;1.3;0.17;0.11;0.12;89;1.2;1.23;0.8;0.8;1.02;234;-;-;-;-;-;320;880;-;-
-181.475;0.035;0.581;0;65.005;60.714;6.071;0;0;154;3;1;194;153;317;15.15;28;3.9;0.15;0.2;0.3;174;0.6;1.2;0.9;1;0.98;320;-;-;-;-;-;480;520;-;-
-290.303;0.024;0.344;0;40.498;40.498;4.05;0;0;76;3;1;312;76;207;28.15;14;1.7;0.17;0.04;0.23;57;0.6;1.02;0.9;0.4;1.05;194;-;-;-;-;-;420;870;-;-
-257.842;0.036;0.414;0;77.001;53.477;5.348;0;0.304;93;3;1;268;68;439;13.11;28;3.4;0.17;0.2;0.31;163;1.2;1.24;0.8;0.3;1.04;315;-;-;-;-;-;310;1120;-;-
-273.627;0.054;0.386;0;54.512;51.651;5.165;0;0.053;83;3;1;71;83;229;34.54;32;4.2;0.16;0.16;0.48;64;0.2;1.13;0.8;0.4;0.99;348;-;-;-;-;-;370;1550;-;-
-414.443;0.024;0.055;0;14.53;14.362;1.436;0;0;112;3;1;38;106;486;19.19;22;4.7;0.19;0.12;0.29;151;0.3;1.22;0.7;0.6;1.04;225;-;-;-;-;-;300;1340;-;-
-336.376;0.011;0.285;0;40.715;40.715;4.072;0;0;160;3;1;249;160;354;28.29;28;2.2;0.18;0.08;0.22;94;0.6;1.16;0.8;0.6;1;212;-;-;-;-;-;580;1790;-;-
